,college_names,overall_score,acceptance_rate,Est_full_price_22_23,Est_price_with_avg_grant,percent_of_student_who_get_grants,graduation_rate,early_career_earnings,avg_price_for_low_income_students,sat_act_required,undergrad_enrollment,percent_of_students_with_need_who_get_grants,percent_of_need_met,percent_of_students_who_get_merit_grants,avg_merit_grant,avg_time_to_a_degree_years,median_student_debt,percent_earning_more_than_a_high_school_grad,Town,State,median_sat,median_act
0,University of Michigan,89.41,23.0,32400.0,18800.0,53.0,92.0,75840.0,2670.0,No,31050.0,81.0,92.0,11.0,5670.0,4.2,18526.0,81.0,Ann Arbor, MI,1440.0,33.0
1,University of North Carolina at Chapel Hill,86.22,23.0,25200.0,10600.0,53.0,89.0,61920.0,3750.0,No,19010.0,90.0,100.0,5.0,7030.0,4.1,14500.0,78.0,Chapel Hill, NC,1410.0,31.0
2,University of Virginia,86.11,24.0,36700.0,20100.0,48.0,94.0,77050.0,12480.0,No,16720.0,91.0,100.0,4.0,5630.0,4.1,18250.0,84.0,Charlottesville, VA,1430.0,32.0
3,Massachusetts Maritime Academy,86.07,91.0,31600.0,18600.0,43.0,73.0,91670.0,6380.0,No,1650.0,56.0,71.0,11.0,5530.0,4.2,26000.0,91.0,Buzzards Bay, MA,1100.0,22.0
4,Virginia Military Institute,85.14,60.0,33300.0,20000.0,85.0,78.0,71910.0,10560.0,No,1700.0,77.0,88.0,14.0,13100.0,4.1,21500.0,85.0,Lexington, VA,1180.0,25.0
5,Georgia Institute of Technology,84.87,21.0,30600.0,18400.0,71.0,87.0,88200.0,8820.0,Yes,15170.0,92.0,60.0,34.0,10200.0,4.5,22250.0,89.0,Atlanta, GA,1410.0,32.0
6,University of Illinois at Urbana-Champaign,84.78,59.0,32000.0,14300.0,61.0,84.0,71540.0,4860.0,No,33080.0,84.0,70.0,12.0,6600.0,4.2,19500.0,84.0,Champaign, IL,1340.0,29.0
7,University of Florida,83.65,37.0,22000.0,10600.0,85.0,88.0,64460.0,70.0,Yes,34520.0,68.0,98.0,7.0,3310.0,4.3,15580.0,77.0,Gainesville, FL,1390.0,31.0
8,University of California Irvine,83.49,27.0,37100.0,13800.0,69.0,83.0,71960.0,6540.0,No,30370.0,97.0,82.0,3.0,9230.0,4.2,15060.0,77.0,Irvine, CA,1300.0,29.0
9,University of California Davis,83.13,39.0,38700.0,18000.0,69.0,86.0,69770.0,10010.0,No,30960.0,97.0,79.0,4.0,6600.0,4.3,13199.0,78.0,Davis, CA,1290.0,28.0
10,Washington and Lee University,82.39,19.0,79800.0,28700.0,61.0,95.0,86020.0,210.0,No,1840.0,100.0,100.0,8.0,40950.0,4.0,19500.0,86.0,Lexington, VA,1430.0,33.0
